type,img,name,link,,,
entrepreneur,https://learn-awesome.github.io/assets/people/Tim_O%E2%80%99Reilly.png,Tim O’Reilly,tim-oreilly-books,,,
entrepreneur,https://learn-awesome.github.io/assets/people/Dave_Ramsey.png,Dave Ramsey,dave-ramsey-books,,,
entrepreneur,https://learn-awesome.github.io/assets/people/Matt_Mullenweg.png,Matt Mullenweg,matt-mullenweg-books,,,
entrepreneur,https://learn-awesome.github.io/assets/people/Arianna_Huffington.png,Arianna Huffington,arianna-huffington-books,,,
entrepreneur,https://learn-awesome.github.io/assets/people/Nick_Szabo.png,Nick Szabo,nick-szabo-books,,,
entrepreneur,https://learn-awesome.github.io/assets/people/Caterina_Fake.png,Caterina Fake,caterina-fake-books,,,
entrepreneur,https://learn-awesome.github.io/assets/people/Max_Levchin.png,Max Levchin,max-levchin-books,,,
entrepreneur,https://learn-awesome.github.io/assets/people/Bryan_Johnson.png,Bryan Johnson,bryan-johnson-books,,,
entrepreneur,https://learn-awesome.github.io/assets/people/Derek_Sivers.png,Derek Sivers,derek-sivers-books,,,
entrepreneur,https://learn-awesome.github.io/assets/people/Tony_Robbins.png,Tony Robbins,tony-robbins-books,,,
entrepreneur,https://learn-awesome.github.io/assets/people/Jeff_Atwood.png,Jeff Atwood,jeff-atwood-books,,,
entrepreneur,https://learn-awesome.github.io/assets/people/Ryan_Hoover.png,Ryan Hoover,ryan-hoover-books,,,
entrepreneur,https://learn-awesome.github.io/assets/people/Kevin_Rose.png,Kevin Rose,kevin-rose-books,,,
entrepreneur,https://learn-awesome.github.io/assets/people/Ryan_Petersen.png,Ryan Petersen,ryan-petersen-books,,,
entrepreneur,https://learn-awesome.github.io/assets/people/Kathryn_Minshew.png,Kathryn Minshew,kathryn-minshew-books,,,
entrepreneur,https://learn-awesome.github.io/assets/people/Alexis_Ohanian.png,Alexis Ohanian,alexis-ohanian-books,,,
entrepreneur,https://learn-awesome.github.io/assets/people/David_Heinemeier_Hansson.png,David Heinemeier Hansson,david-heinemeier-hansson-books,,,
entrepreneur,https://learn-awesome.github.io/assets/people/Tristan_Harris.png,Tristan Harris,tristan-harris-books,,,
entrepreneur,https://learn-awesome.github.io/assets/people/Brandon_Stanton.png,Brandon Stanton,brandon-stanton-books,,,
entrepreneur,https://learn-awesome.github.io/assets/people/Neville_Medhora.png,Neville Medhora,neville-medhora-books,,,
entrepreneur,https://learn-awesome.github.io/assets/people/Daymond_John.png,Daymond John,daymond-john-books,,,
entrepreneur,https://learn-awesome.github.io/assets/people/Chase_Jarvis.png,Chase Jarvis,chase-jarvis-books,,,
entrepreneur,https://learn-awesome.github.io/assets/people/Aaron_Levie.png,Aaron Levie,aaron-levie-books,,,
entrepreneur,https://learn-awesome.github.io/assets/people/James_Altucher.png,James Altucher,james-altucher-books,,,
entrepreneur,https://learn-awesome.github.io/assets/people/Chris_Anderson.png,Chris Anderson,chris-anderson-books,,,
entrepreneur,https://learn-awesome.github.io/assets/people/Gary_Vaynerchuk.png,Gary Vaynerchuk,gary-vaynerchuk-books,,,
entrepreneur,https://learn-awesome.github.io/assets/people/DJ_Vlad.png,DJ Vlad,dj-vlad-books,,,
entrepreneur,https://learn-awesome.github.io/assets/people/Scott_Belsky.png,Scott Belsky,scott-belsky-books,,,
entrepreneur,https://learn-awesome.github.io/assets/people/Andrew_Ng.png,Andrew Ng,andrew-ng-books,,,
entrepreneur,https://learn-awesome.github.io/assets/people/Safi_Bahcall.png,Safi Bahcall,safi-bahcall-books,,,
entrepreneur,https://learn-awesome.github.io/assets/people/Ricardo_Semler.png,Ricardo Semler,ricardo-semler-books,,,
